名称,优先级,关闭,新建 F14,关闭 F13/鼠标后退键,前进 alt+right,下个标签Ctrl+tab,后退 Alt+left,上个标签Ctrl+shift+tab/鼠标前进键,新建窗口 F15,全屏 F11,是否启用 y/n
Ultraedit,,ahk_exe i)uedit,^n,^F4,,,,,,,
Atom【已过时】,,ahk_exe i)atom.exe,^n,^F4,,^PgDn,,^PgUp,,,
,,,,,,,,,,,
【窗口】Beyond Compare,高,ahk_class i)TaboutDialog ahk_exe i)Bcompare.exe,,Esc,,,,,,,
【file compare】Beyond Compare,,ahk_exe i)Bcompare.exe,,^w,,,,,,,
WinMerge,,ahk_exe i)WinMergeU.exe,^n,^F4,,,,,,,
,,,,,,,,,,,
【IDE】DevC++,,ahk_exe i)devcpp.exe,^n,^w,,,,,,,
Eclipse,,ahk_exe i)eclipse.exe,^n,,,^PgDn,,^PgUp,,,
HbuilderX,,ahk_exe i)HbuilderX.exe,,^F4,,^PgDn,,^PgUp,,,
【标签页】JetBrains 系列,高,.+ – .+ ahk_class i)^SunAwtFrame$ ahk_exe i)(?:aqua|clion|datagrip|dataspell|goland|idea|pycharm|phpstorm|rider|rubymine|rustrover|webstorm|writerside)64\.exe,,^F4,,,,,,,
【IDE】Aqua、Clion、Datagrip、Dataspell、Goland、Idea、Pycharm、Phpstorm、Rider、RubyMine、RustRover、Webstorm、Writerside,,ahk_class i)^SunAwtFrame$ ahk_exe i)(?:aqua|clion|datagrip|dataspell|goland|idea|pycharm|phpstorm|rider|rubymine|rustrover|webstorm|writerside)64\.exe,,,,!Right,,!Left,,^+F12,
【标签页】jetbrains ext系列,高,.+ – .+ ahk_class i)SunAwtFrame ahk_exe i)(?:studio|devecostudio)64.exe,,^F4,,,,,,,
【IDE】Android Studio、华为 DevEco Studio,,ahk_class i)^SunAwtFrame$ ahk_exe i)(?:studio|devecostudio)64.exe,,,,!Right,,!Left,,,
MyEclipse,,ahk_class i)^SWT_Window0$ ahk_exe i)javaw.exe,^n,^F4,,^PgDn,,^PgUp,,,
Rstudio,,ahk_exe i)rstudio.exe,^+n,^w,,,,,,,
SpringToolSuite4,,ahk_exe i)SpringToolSuite\d,^n,^F4,,^PgDn,,^PgUp,,,
【标签页】VS Code、Cursor、Trae CN、CodeArts IDE for Cangjie、Comate、Lingma、CodeBuddy、VSCodium,高,i)^●|\(已删除\)|^(?:Welcome|开始|Profiles|Settings|Keyboard Shortcuts) - |^Untitled-[1-9]?\d* - |- .+ - (?:Visual Studio Code|Cursor|Trae CN|CodeArts IDE for Cangjie|Comate|Lingma|CodeBuddy|VSCodium)|\..* - (?:Visual Studio Code|Cursor|Trae CN|CodeArts IDE for Cangjie|Comate|Lingma|CodeBuddy|VSCodium)| \(Working Tree\) \( ahk_exe i)(?:Code|Cursor|Trae CN|codearts-cangjie|comate|Lingma|CodeBuddy|VSCodium).exe$ ahk_class i)^Chrome,,^F4,,,,,,,
